Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0402_1005Metric",23.280000,9.900000,180.000000,top
"C2","10uF","C_0402_1005Metric",19.950000,17.200000,90.000000,top
"C3","10uF","C_0402_1005Metric",25.600000,19.350000,90.000000,top
"C4","0.1uF","C_0201_0603Metric",24.300000,10.750000,0.000000,top
"C5","0.1uF","C_0201_0603Metric",21.500000,17.400000,90.000000,top
"C6","0.1uF","C_0201_0603Metric",26.475000,19.150000,90.000000,top
"C7","10nF","C_0201_0603Metric",22.850000,10.725000,180.000000,top
"C8","10nF","C_0201_0603Metric",20.800000,17.400000,90.000000,top
"C9","10nF","C_0201_0603Metric",25.875000,18.025000,180.000000,top
"C10","22nF","C_0402_1005Metric",26.000000,17.250000,0.000000,top
"C11","0.1uF","C_0201_0603Metric",24.075000,17.500000,90.000000,top
"C12","0.1uF","C_0402_1005Metric",22.330000,17.880000,90.000000,top
"C13","47nF","C_0402_1005Metric",23.250000,17.880000,90.000000,top
"C14","10nF","C_0201_0603Metric",20.710000,11.520000,180.000000,top
"C15","10nF","C_0201_0603Metric",20.800000,15.960000,90.000000,top
"C16","10nF","C_0201_0603Metric",24.775000,17.500000,90.000000,top
"C17","1uF","C_0402_1005Metric",21.260000,10.680000,180.000000,top
"C18","0.1uF","C_0201_0603Metric",19.800000,9.330000,-90.000000,top
"C19","0.1uF","C_0201_0603Metric",19.090000,9.330000,-90.000000,top
"C20","0.1uF","C_0201_0603Metric",16.500000,25.700000,-90.000000,top
"C21","0.1uF","C_0201_0603Metric",12.750000,23.050000,-90.000000,top
"C25","1uF","C_0402_1005Metric",26.450000,22.700000,90.000000,top
"C26","0.1uF","C_0201_0603Metric",27.580000,22.730000,0.000000,top
"C29","4.7uF","C_0402_1005Metric",12.070000,14.650000,0.000000,top
"C33","4.7uF","C_0402_1005Metric",11.920000,15.600000,0.000000,top
"C34","1uF","C_0402_1005Metric",20.900000,14.300000,-90.000000,top
"C35","1uF","C_0402_1005Metric",24.625000,19.200000,90.000000,top
"C36","10pF","C_0201_0603Metric",15.300000,15.200000,-90.000000,top
"C40","0.1uF","C_0201_0603Metric",15.970000,15.180000,90.000000,top
"C41","0.1uF","C_0201_0603Metric",15.550000,10.350000,0.000000,top
"C59","0.47uF","C_0402_1005Metric",19.100000,13.450000,90.000000,top
"C60","10pF","C_0201_0603Metric",16.700000,10.000000,90.000000,top
"C63","4.7uF","C_0402_1005Metric",18.300000,9.650000,90.000000,top
"C64","4.7uF","C_0402_1005Metric",19.100000,11.630000,-90.000000,top
"D1","SFH 2400 FA","OSRAM_SFH2400FA-Tight",11.800000,18.900000,0.000000,top
"D2","SML-P11UTT86R","ROHM_SML-P11MTT86R",22.712953,22.867641,-90.000000,top
"D3","SFH 2400 FA","OSRAM_SFH2400FA-Tight",28.200000,18.900000,0.000000,top
"F1","0402L020SL","LITTLEFUSE_0402",13.950000,15.400000,180.000000,top
"J1","OE_COAX-ADAPTER-XFL-A (DNP)","OE_COAX-ADAPTER-XFL-A",20.170000,19.500000,0.000000,top
"J3","SBH11-PBPC-D05-ST-BK","IDC-Header_2x05_P2.54mm_Vertical",25.080000,42.752500,-90.000000,top
"J5","PINHD-1x7_ONIXJTAG-RevA","ONIXJTAG-RevA",22.110000,21.300000,0.000000,top
"L1","BLM15AX102SN1D","L_0402_1005Metric",21.370000,9.300000,180.000000,top
"L2","BLM15AX102SN1D","L_0402_1005Metric",19.950000,15.350000,90.000000,top
"L7","BLM15AX102SN1D","L_0402_1005Metric",23.650000,19.775000,90.000000,top
"L8","CBC3225T101MR","L_1210_3225Metric",15.400000,17.540000,0.000000,top
"L9","CIG21L4R7MNE","L_0805_2012Metric",18.600000,16.200000,-90.000000,top
"R3","39.2,1%","R_0201_0603Metric",20.630000,12.630000,0.000000,top
"R4","78.7k,1%","R_0201_0603Metric",20.010000,13.660000,90.000000,top
"R7","10k","R_0201_0603Metric",17.630000,26.430000,0.000000,top
"R8","2k","R_0201_0603Metric",16.660000,15.200000,-90.000000,top
"R9","10k","R_0201_0603Metric",12.410000,22.000000,0.000000,top
"R10","10k","R_0201_0603Metric",15.200000,25.400000,0.000000,top
"R11","4.7k","R_0201_0603Metric",17.990000,20.090000,-90.000000,top
"R12","4.7k","R_0201_0603Metric",18.010000,18.650000,90.000000,top
"R14","2k","R_0201_0603Metric",17.430000,15.220000,90.000000,top
"R15","49.9","R_0201_0603Metric",22.570000,19.550000,90.000000,top
"R17","15k","R_0201_0603Metric",27.640000,22.030000,180.000000,top
"R18","604k,1%","R_0201_0603Metric",12.455000,13.800000,180.000000,top
"R19","125k,1%","R_0201_0603Metric",12.800000,12.745000,90.000000,top
"R20","4.7k","R_0201_0603Metric",23.012953,24.667641,-90.000000,top
"R24","604k,1%","R_0201_0603Metric",17.450000,9.945000,90.000000,top
"R25","1k","R_0201_0603Metric",22.212953,24.667641,90.000000,top
"SW1","R-668049","MITSUMI_R-668049",24.512953,23.767641,90.000000,top
"U3","BNO055","LGA-28_5.2x3.8mm_P0.5mm",15.400000,22.012500,-90.000000,top
"U4","LTC3265xxHC#PBF","LINEAR_SON50P300X500X80-19N-D",15.900000,12.600000,90.000000,top
"U7","DS90UB953A-Q1","TI_RHB0032P",24.200000,13.900000,180.000000,top
"U8","LIF-MD6000-6UMG64I","LATTICE_ufcBGA64C40P8X8_3.5X3.5X1.0",19.812953,23.767641,180.000000,top
